Serial Number,Meandering-1965_TableToExcel.xls,TableToExcel_Mon-2016.xls,TableToExcel_Mon-2017.xls,TableToExcel_Mon-2018.xls,TableToExcel_Mon-2019.xls,TableToExcel_Mon-2020.xls,TableToExcel_Post-2016.xls,TableToExcel_Post-2017.xls,TableToExcel_Post-2018.xls,TableToExcel_Post-2019.xls,TableToExcel_Post-2020.xls,TableToExcel_Pre-2017.xls,TableToExcel_Pre-2018.xls,TableToExcel_Pre-2019.xls,TableToExcel_Pre-2020.xls
1,1.211051366875,1.36676640114,1.290761352515,1.2766571474100001,1.2894666194050002,1.269981541895,1.308168550135,1.2517694763725,1.3616740107549998,1.288494093895,0.7142152683924999,1.3286856041525,1.3802836844450002,1.285456098545,0.7233589485974999
2,0.0,1.181658620665,1.2502500842325,1.1683821996025,1.25945445684,1.20414371173,1.0895746084825,1.1188986387775002,1.2712635270675001,1.1675592456550001,1.1614297697575,1.2292764130999998,1.209527310755,1.2088132248925,1.204958282145
3,0.0,1.3029449789524998,1.145419833505,1.232438131765,1.134473729515,1.198123556815,1.1298318479766574,1.0606756084925,1.2156267690575,1.1592409023524999,1.1062441173125002,1.3541667197275,1.192247129505,1.12887686673,1.2266380865525
4,0.8137845409025,1.1737608763425,1.1060435966325002,1.1335167540175,1.1404224292825,1.1570643211475,1.2141681219075,1.0393012146475,1.0903571532025,1.0632151489375001,1.080648099445,1.47853617857,1.1520399718624998,1.126167067965,1.1852576402950001
5,1.19077442251,1.4237446188075,1.1703054997700002,1.1474761201925001,1.1289037797500001,1.282625201915,1.2129283864375,1.2803354458375,1.4380980681200002,1.8295843855574998,1.053274868385,1.43076210422,1.2932675255750001,1.2105492626,1.3075644324825
6,1.689566702085,1.500634317385,1.58376524427,1.536754658275,1.6038401477475,1.229351114925,1.5308306394575,1.4182959044449999,1.3390527407225,1.3280746346625,1.2671861690925,1.572572568265,1.6778728381875,1.541130611065,1.5270025647099998
7,1.2204869773825,1.793856650605,1.8533070113374999,1.705301427675,1.7987018549975,1.95786854297,1.7523373388474999,1.65547217536,1.921725039125,0.8638805902775,1.7079554188225,1.7098572379224999,1.84092147388,1.6257540071974999,2.022157869375
8,1.25912827734,1.2293585647625,1.20087690896,1.197141823475,1.266250023395,1.4164609753750002,1.2512395092875,1.2097474250075,1.23693343687,1.1320462369975,1.2489818165975,1.2556340605225,1.2821267150575,1.3027217834325,1.3271198592675
9,0.324726767125,0.996553968595,0.9786190460025,0.8483475485825,0.8894501716275001,0.9327459883075001,0.928869490575,0.834117595895,0.9440813314900001,1.201525114015,0.81456311505,0.9692551230775,1.0634285615374999,0.9267068747275,0.9579011197774999
